ticket_id,photo,lat,long,timestamp,type,subdistrict,district,car_count
2021-C8DAVL,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/672073b42769941ec829a1348babc9e1653561da.jpg,13.74059,100.51974,2021-12-10 05:01:04.955289+00:00,{จราจร},แขวงรองเมือง,เขตปทุมวัน,9
2021-CJ2F7F,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/be9553302eed212a9eb5259d69b5a6f129c17479.jpg,13.75868,100.53467,2021-12-10 10:06:40.713800+00:00,"{จราจร,ถนน}",แขวงทุ่งพญาไท,เขตราชเทวี,28
2021-4QKUUN,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/e1579bd81f8129269fd7eaa9eceda800da846ecd.jpg,13.74219,100.55281,2021-12-18 07:36:06.837338+00:00,{จราจร},แขวงคลองเตย,เขตคลองเตย,3
2021-H4RRY3,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/48fc014ad5f804225168b9d9a07d2816d6648f84.jpg,13.78444,100.49413,2021-12-22 01:24:57.223484+00:00,{จราจร},แขวงบางบำหรุ,เขตบางพลัด,9
2022-9EHJW2,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/736dd24a6ad26b2a24c302ef2ccefe7429785dd9.jpg,13.70611,100.52756,2022-01-16 11:14:00.944767+00:00,"{จราจร,สะพาน,ถนน}",แขวงทุ่งวัดดอน,เขตสาทร,3
2022-8TN97P,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/98c4df1cbb48d563f70575b6dc490188ee930643.jpg,13.75622,100.5651,2022-01-23 05:02:21.192696+00:00,{จราจร},แขวงดินแดง,เขตดินแดง,4
2022-9ATC7G,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-02/9d2149b130569c29b2c69a2c4db4b0ed2deb7a11.jpg,13.8389,100.55524,2022-02-06 10:11:24.980056+00:00,"{ถนน,จราจร}",แขวงลาดยาว,เขตจตุจักร,7
2022-6CBHU2,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/18846e6b5325d3be7116eb92c3bd6aba940ca212.jpg,13.81338,100.56031,2022-03-06 12:55:11.408313+00:00,"{จราจร,ถนน}",แขวงจอมพล,เขตจตุจักร,4
2022-9MTQP8,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/a6d785becca18c346623f5691026fb15f0bf185f.jpg,13.73282,100.74649,2022-05-23 09:59:05.673267+00:00,"{จราจร,ถนน}",แขวงคลองสามประเวศ,เขตลาดกระบัง,1
2022-3BC3DA,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/31a20abc76d2d5d64a122a0b49c2e0a9da06da61.jpg,13.79754,100.55543,2022-05-24 04:30:08.303407+00:00,"{จราจร,ถนน}",แขวงจอมพล,เขตจตุจักร,4
2022-GDWU4X,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/c701bad670352a1a65fd7dd9d48a20ec247e51f0.jpg,13.69833,100.47124,2022-05-26 00:41:04.314959+00:00,{จราจร},แขวงจอมทอง,เขตจอมทอง,4
2022-4NW6PV,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/b3ff25a722fb9553ee1bbdda3fce51c9aef7c870.jpg,13.87358,100.5748,2022-05-27 02:54:40.796828+00:00,"{จราจร,ถนน}",แขวงตลาดบางเขน,เขตหลักสี่,1
2022-KXLTRW,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/8d891650dd151be1d472ffff419c73405af820aa.jpg,13.76243,100.50433,2022-05-29 06:15:40.772918+00:00,"{สายไฟ,จราจร}",แขวงบ้านพานถม,เขตพระนคร,2
2022-F9LCZT,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/76bca21bcc9b88e2542c85dfb50585e061a439aa.jpg,13.72137,100.69778,2022-05-29 10:44:36.256909+00:00,"{จราจร,ความปลอดภัย}",แขวงประเวศ,เขตประเวศ,3
2022-CYYX7Q,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/1bac27bdbcabfcfda27d082ffe2cc49bf8e65c70.jpg,13.72137,100.69778,2022-05-29 10:44:36.481514+00:00,"{ความปลอดภัย,จราจร}",แขวงประเวศ,เขตประเวศ,3
2022-3WKQCP,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/fd96b2e5f5c947ee7c3b2f9451ec9ca029db0376.jpg,13.83319,100.52257,2022-05-29 13:47:51.360222+00:00,{จราจร},แขวงวงศ์สว่าง,เขตบางซื่อ,10
2022-4QMR4M,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/e9b9220093fd62bc64f54a48c4ee3cfa216686be.jpg,13.84538,100.60119,2022-05-29 14:04:31.048464+00:00,"{ถนน,จราจร}",แขวงจรเข้บัว,เขตลาดพร้าว,2
2022-6L69U8,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/64dc3d16089729cd2a7a3794e05e06f7f2eeccea.jpg,13.71036,100.42077,2022-05-29 14:27:52.019946+00:00,{จราจร},แขวงบางแค,เขตบางแค,1
2022-N2TVWY,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/996048f3ae4149be11fc5e7a27a9b1acbca4d17e.jpg,13.84431,100.59876,2022-05-29 15:21:58.259186+00:00,{จราจร},แขวงจรเข้บัว,เขตลาดพร้าว,11
2022-DNEU3X,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/bcc26e1145ebd845f0c1378d5a75d6e66e4f22b5.jpg,13.68625,100.52063,2022-05-29 16:04:34.823307+00:00,"{ถนน,จราจร}",แขวงบางโพงพาง,เขตยานนาวา,6
2022-GWVZFU,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/22c6e07f7de39b9bf01496cb281138eb8e6eb86b.jpg,13.85537,100.86208,2022-05-29 20:10:58.981769+00:00,{จราจร},แขวงกระทุ่มราย,เขตหนองจอก,5
